Identifier;"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements (to be used after ontology  conceptualization assignment);;;;;;;;;;;;; 
R1;What movies are represented in the dataset?;Movies from IMDb;Proposed;Field:_id;movies.json;Root requirement for movies;Movie;;;;;;;;;;;;;
R2;What actors are represented in the dataset?;Actors from IMDb;Proposed;Field:_id;actors.json;Root requirement for actors;Actor;;;;;;;;;;;;;
r3;What directors are represented in the dataset?;Directors from IMDb;Proposed;Field:_id;directors.json;Root requirement for directors;Director;;;;;;;;;;;;;
R4;What producers are represented in the dataset?;Producers from IMDb;Proposed;Field:_id;producers.json;Root requirement for producers;Producer;;;;;;;;;;;;;
R5;What is the budget for a given movie?;The adjusted amount of money invested in the movie if present;Proposed;Field:adjusted_budget;movies.json;R1;hasBudget;;;;;;;;;;;;;
R6;Which actors participated in a given movie?;One or more persons linked to the movie as actors;Proposed;Field:all_actors (list of gender, url, name triplets);movies.json;R1,R2,R13,R14;Movie, Actor, isActedBy;;;;;;;;;;;;;
R7;Which directors participated in a given movie?;One or more persons linked to the movie as directors;Proposed;Field:director (list of name, url, type, gender quadruplets);movies.json;R1,R3,R16,R18;Movie, Director, isDirectedBy;;;;;;;;;;;;;
R8;Which producers participated in a given movie?;One or more persons linked to the movie as producers;Proposed;Field:producer (list of name, url, role, gender quadruplets);movies.json;R1,R4,R25,R27;Movie, Producer, isProducedBy;;;;;;;;;;;;;
R9;What gender percentage has a given movie;Integer percent of female actors in the movie;Proposed;Field: gender_percent;movies.json;R1, R6,R14;Movie, hasGenderPercent;;;;;;;;;;;;;
R10;What genres does a movie belong to?;One or more genres linked to the movie;Proposed;Field: genre;movies.json;R1;Movie, hasGenre;;;;;;;;;;;;;
R11;What is the release year of a movie?;The year property linked to the movie;Proposed;Field:year;movies.json;R1;Movie, hasReleaseYear;;;;;;;;;;;;;
R12;What is the title of a given movie?;The title linked to the movie;Proposed;Field:title;movies.json;R1;Movie, hasTitle;;;;;;;;;;;;;
R13;What is the name of a given actor?;The name linked to the actor;Proposed;Field:name;actors.json;R2;Actor, hasName;;;;;;;;;;;;;
R14;What is the gender of a given actor?;The gender linked to the actor;Proposed;Field:gender;actors.json;R2;Actor, hasGender;;;;;;;;;;;;;
R15;In what movies did a given actor participate?;One or more movies linked to the actor;Proposed;Field:movies_list;actors.json;R1, R2;Actor, Movie, actsIn;;;;;;;;;;;;;
R16;What is the name of a given director?;The name linked to the director;Proposed;Field:name;directors.json;R3;Director, hasName;;;;;;;;;;;;;
R17;In what movies did a given director participate?;One or more movies linked to the director;Proposed;Field:movies_list (list of year, movie_id, type triplets);directors.json;R1, R3, R11;Director, Movie, directsA;;;;;;;;;;;;;
R18;What is the gender of a given director?;The gender linked to the director;Proposed;Field:gender;directors.json;R3;Director, hasGender;;;;;;;;;;;;;
R19;Which was the first movie a given director participated in?;The year of the first movie directed by the director;Proposed;Field:first_movie;directors.json;R3;Director, hasFirstMovie;;;;;;;;;;;;;
R20;Which was the last movie a given director participated in?;The year of the last movie directed by the director;Proposed;Field:last_movie;directors.json;R3;Director, hasLastMovie;;;;;;;;;;;;;
